FID,FULLNAME,Shape_Leng,Type,Shape_Le_1,Shape_Area
306,25th-Toledo,397.8143008,Park,397.814300808,7443.80267469
307,Greene,1579.65820263,Park,1579.65820263,151773.809557
308,Alexandrine-Elmwood,298.55656173,Park,298.556561735,3562.81633591
309,Bloomfield,499.94735562,Park,499.947355624,14995.8827864
310,Ellis-Robson,3789.90402465,Park,3789.90402465,64189.4040622
311,McKinley-Merrick,671.11887866,Park,671.118878667,27510.146034
312,Illinois-Moran,395.81801419,Park,395.818014198,7950.8392959
313,Mansfield-Diversey,1135.1240968,Park,1135.1240968,80546.0918451
314,Ames,1026.23495008,Park,1026.23495008,43107.0196047
315,Benson-Elmwood,303.75700613,Park,303.757006138,4806.40050196
316,Mt. Elliott-Zender,391.89438703,Park,391.894387037,9454.25292961
317,Martens,649.36866776,Park,649.368667766,18533.8745488
318,McShane,1075.63403098,Park,1075.63403098,58166.1541062
319,Constance-St. Marys,980.11158463,Park,980.111584631,41203.5668226
320,Elba-Ellery,266.31234257,Park,266.312342577,4247.72381327
321,Calvert,550.21117704,Park,550.211177041,18914.3099321
322,McCabe,2449.95282532,Park,2449.95282532,291808.006292
323,Calcara,1012.91165868,Park,1012.91165868,63896.1316279
324,O'Shea,5758.57032516,Park,5758.57032516,923619.636012
325,Schultz,570.54063221,Park,570.540632216,18708.4994117
326,Franklin,1526.30577056,Park,1526.30577056,162572.894774
327,Cook,1762.70357988,Park,1762.70357988,121130.286566
328,Zussman,1486.8886036,Park,1486.8886036,98480.9067516
329,Fields,1925.99084215,Park,1925.99084215,220216.488762
330,Russell Woods,1559.99840157,Park,1559.99840157,139986.590701
331,Bristol,2105.50351218,Park,2105.50351218,139689.789119
332,Varier,1466.50170458,Park,1466.50170458,123611.931557
333,Richard Allen,2309.09239605,Park,2309.09239605,225675.296701
334,Jayne (Cleveland School),6394.08611028,Park,6394.08611028,2061130.0963
335,Bale,1714.7687982,Park,1714.7687982,159645.448782
336,Kronk,1818.20503614,Park,1818.20503614,150897.876022
337,Gorham,1599.40046809,Park,1599.40046809,136201.443213
338,Krainz,2590.8872385,Park,2590.8872385,416254.939709
339,30th-Herbert,890.43642545,Park,890.436425459,45265.9123535
340,Liuzzo,1317.83919144,Park,1317.83919144,108291.524335
341,Watson,1125.82600551,Park,1125.82600551,68999.9387124
342,Hasse-Emery,838.30446097,Park,838.304460973,38724.7722142
343,Fargo-Oakfield,1320.60138002,Park,1320.60138002,104092.64478
344,Farwell,8765.83471952,Park,8765.83471952,3919143.60216
345,Sak,888.18210109,Park,888.182101094,49266.5013496
346,Arthur,1742.17513592,Park,1742.17513592,141466.571196
347,Clark,6070.4949875,Park,6070.4949875,1300994.55715
348,Kelley,1977.15752832,Park,1977.15752832,195372.627666
349,Dorais,4989.12656295,Park,4989.12656295,1554656.3733
350,Ramsey,1111.19295636,Park,1111.19295636,56029.2322463
351,Harvey-Junction,392.4937031,Park,392.493703109,8193.92953036
352,Syracuse,1873.30760349,Park,1873.30760349,160884.988917
353,Harvey-Junction,392.78224511,Park,392.782245112,8181.9258481
354,No Name,654.24972588,Park,654.249725884,16791.1421925
355,Yates,1318.885094,Park,1318.885094,103207.630218
356,Forest,3400.1553098,Park,3400.1553098,608627.189332
357,No Name,527.43178841,Park,527.431788411,13894.3947203
358, ,497.31117689,Park,497.311176897,14844.5329226
359,Syracuse-Hildale,783.88082677,Park,783.880826772,31351.6642523
360,Syracuse-Hildale,993.88113157,Park,993.881131576,43110.0033226
361,Stanton,727.65090288,Park,727.650902886,32955.4726767
362,No Name,464.86784818,Park,464.867848184,9914.70122976
